87,Four Horsemen,,* 1 part Bourbon whiskey (Jim Beam) * 1 part Tennessee whiskey (Jack Daniel's) * 1 part Scotch whisky (Johnnie Walker Black) * 1 part Irish Whiskey (Jameson),"Mix the four spirits together into the shot glass, and down immediately.",neat,,Four Horsemen (drink),-5,25,1,40
88,B-52,,*20ml (1 part) coffee liqueur (Kahlúa) *20ml (1 part) Irish Cream (Baileys Irish Cream) *20ml (1 part) Orange Cognac (Grand Marnier),Layer ingredients into a shot glass. Serve with a stirrer.,neat,Stirrer,B-52 (cocktail),-5,20,1,9
89,The Godfather,,*35 ml (2 parts) scotch whisky *35 ml (2 parts) amaretto,pour into an old fashioned glass,on the rocks,,Godfather (cocktail),-10,20,1,37
90,French Connection,,*3.5cl (1 part) Cognac *3.5cl (1 part) Disaronno liqueur,Pour ingredients into a Snifter with ice cubes. Stir gently.,,,French Connection (cocktail),-5,20,1,30
91,Kir Royal,A recipe can be found at the International Bartenders Association website.,*90ml (3 ounces) (9 parts) champagne *10ml (0.33 ounce) (1 part) crème de cassis,"*Add the crème de cassis to the bottom of the glass, then top up champagne.",,,Kir Royal (cocktail),0,15,40,46
92,Gibson,,*60ml (2 ounces) (6 parts) gin *10ml (0.33 ounce) (1 part) dry vermouth,"*Stir well in a shaker with ice, then strain into a chilled martini glass. Garnish and serve",stirred,silverskin onion,Gibson (cocktail),-5,20,1,40
93,Whiskey sour,Garnish with maraschino cherry and orange slice.,* 45ml (3 parts) Bourbon whiskey * 30ml (2 parts) fresh lemon juice * 15ml (1 part) Gomme syrup * dash egg white (optional),Shake with ice. Strain into ice-filled old-fashioned glass to serve on the rocks.,shaken,"sugared glass, lemon rind",Whiskey sour,-5,20,1,40
94,Bombardino,,* 1 part Brandy * 1 part Advocaat (or eggnog),,,,Bombardino,-5,15,5,30
95,Rev-Bomb,,,,,,Rev (drink),-5,10,1,30
96,Nikolaschka,One should eat the lemon with the coffee and sugar mixture and then enjoy the drink.,"* Cognac * Coffee powder * Powdered sugar * Lemon disk, peeled","Pour cognac into brandy snifter, place lemon disk across the top of the glass and top with sugar and coffee.",straight,,Nikolaschka,-5,20,1,30
97,Bijou Cocktail,,* 3 parts gin *1 part green Chartreuse *1 part sweet vermouth *Dash orange bitters,Stir in mixing glass with ice and strain,straight,cherry,Bijou (cocktail),0,20,5,20
98,Golden Elk,,*2 parts Jägermeister * 1 part Goldschläger,,,,Golden Elk,12,25,1,30
99,Jack and Coke,,*1 part Jack Daniel's Tennessee Whiskey *3 parts Coca-Cola *Ice,Pour Jack Daniel's into Collins glass filled with ice. Fill to desired level with Coca-Cola. Stir lightly.,on the rocks,,Jack and Coke,-5,20,1,30
100,Brandy Daisy,,*1½ ounces brandy or Cognac *¾ ounce yellow Chartreuse *¾ ounce lemon juice,"Stir well with cracked ice in a cocktail shaker, then strain into a chilled Collins glass and top with a splash of chilled club soda or seltzer.",on the rocks,,Brandy Daisy,-5,10,1,46
101,Fizz,,,,,,Fizz (cocktail),-20,20,30,46
102,Planter's Punch,,*6cl (6 parts) dark rum *3cl (3 parts) fresh lemon juice *1cl (one part) grenadine syrup *Soda water as necessary,Mix in shaker with ice. Pour into glass and top up with soda water. Garnish and serve.,on the rocks,lemon and orange slices,Classic cocktail,15,30,40,46
103,Caipirinha,"A wide variety of fresh fruits can be used in place of lime. In the absence of cachaça, vodka can be used, making a caipiroska.","* 50 ml (1⅔ fl oz) cachaça * ½ Lime cut into 4 wedges (or tahiti lime, but '''not''' green lemon) * 2 teaspoons crystal or refined sugar",Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with crushed ice and add the Cachaça.,on the rocks,lime,Cocktails with cachaça,20,40,40,46
104,B and B,,* 1 part cognac * 1 part Bénédictine,Combine and stir.,with or without ice,,List of duo and trio cocktails,10,20,30,40
105,Screwdriver,,*50 ml (1 part) vodka *100 ml (2 parts) orange juice,Mix in a highball glass with ice. Garnish and serve.,on the rocks,orange slice,Hi-Fi (cocktail),10,25,1,46
106,Bacardi cocktail,,*45ml (9 parts) Bacardi white rum *20ml (4 parts) lemon or lime juice *5ml (1 part) grenadine syrup,Shake together in a mixer with ice. Strain into glass and serve,straight up,lime,Bacardi cocktail,15,25,30,46
107,Paradise,,*35ml (7 parts) gin *20ml (4 parts) apricot brandy *15ml (3 parts) orange juice,Shake together over ice. Strain into cocktail glass and serve chilled.,straight,,Paradise (cocktail),25,35,40,46
108,Rose,,*45ml (9 parts) dry vermouth *15ml (3 parts) Kirsch *10ml (2 parts) cherry brandy,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",straight,Maraschino cherry,Rose (cocktail),20,3à,40,46
109,Golden Dream,Should be quite fluffy,*20ml (2 parts) Galliano * 20ml (2 parts) Cointreau * 20ml (2 parts) Fresh orange juice * 10ml (1 part) Fresh cream,Shake together in a mixer with cracked ice. Strain into glass and serve.,shaken,wedge of orange and a cocktail umbrella,Golden dream (cocktail),20,30,40,46
110,Japanese Slipper,,*30 ml (1 part) Midori *30 ml (1 part) cointreau *30 ml (1 part) lemon juice,"Shake together in a mixer with ice. Strain into glass, garnish and serve.",straight,Honeydew melon slice,Japanese slipper,-20,40,10,30
111,Kamikaze,,*30ml (1 part) vodka *30ml (1 part) triple sec *30ml (1 part) lime juice,"Shake all ingredients together in a mixer with ice. Strain into glass, garnish and serve.",straight,Lime slice,Kamikaze (cocktail),-20,40,10,30
112,Orgasm,,*30ml Cointreau *30ml Baileys Irish Cream *20ml Grand Marnier,Build all ingredients over ice in an old fashioned glass or shot glass. Garnish with cherry.,on the rocks,cherry,Orgasm (cocktail),22,69,1,46
113,Porto Flip,,*15ml (3 parts) brandy *40ml (8 parts) port *10ml (2 parts) egg yolk,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve",straight,Grated nutmeg,Porto flip,10,25,15,46
114,Pegu Club,,*1 1/2 ounces gin *3/4 ounce orange cointreau *1 teaspoon lime juice *Dash bitters *Dash orange bitters,"Shake ingredients together in a mixer with crushed ice. Strain into chilled glass, garnish and serve.",shaken,lime twist,Pegu Club (cocktail),10,20,15,40
115,Champagne cocktail,,*1 sugar cube *2-3 dashes Angostura bitters *30ml Brandy *Champagne,"Place the sugar cube at the bottom of the flute and add Angostura bitters until it dissolves. Add the brandy, then fill with the champagne. Garnish with the orange slice and maraschino cherry.",straight,Orange slice and maraschino cherry,Champagne cocktail,18,28,40,46
116,Staten Island Ferry,,*One part Malibu Rum *One part pineapple juice,Stir together and serve over ice.,on the rocks,,Staten Island Ferry (cocktail),15,25,1,30
117,Macuá,,*2 parts white rum (preferably Flor de Caña) * 2 parts guava juice * 1 part lemon juice * sugar to taste,Blend the ingredients with 1 cup of ice and serve well chilled. Garnish with an orange slice,On the rocks,lemon slice,Macuá,28,40,40,46
118,Alexander,,*1 oz gin *1 oz white crème de cacao *1 oz light cream,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"blended (no ice), then on the rocks",nutmeg,Alexander (cocktail),-5,15,1,30
119,Dark 'N Stormy,Lime optional.,*50 mL of Gosling's Black Seal rum *150 mL Ginger beer *1:3 ratio *1 slice of lime,Pour the ginger beer into a glass over ice. Top off with black rum. Squeeze in the lime wedge and drop it in.,on the rocks,,Dark 'N' Stormy,15,25,1,30
120,Blue Lagoon,,*1 part Vodka *1 part Blue Curacao *4 parts Lemonade,"pour vodka and blue curacao in a shaker with ice, shake well & strain into ice filled highball glass, top with lemonade, garnish and serve.",on the rocks,lemon slice,Blue Lagoon (cocktail),20,45,30,46
121,Spritz,,"*3cl (one part) Prosecco *3cl (one part) bitters (Campari, Aperol, Cynar, Gran Classico ''etc.'') *3cl (one part) carbonated water","Stir into glass over ice, garnish and serve.",on the rocks,Orange Wedge  Olive,Spritz (alcoholic beverage),-5,10,1,30
122,Jägerbomb,,,,,,Jägerbomb,-10,15,10,37
